Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	98.16725339781028	10.106701692598401	0.0	0.0	false	null
line	+	98.16725339781028	10.106701692598401	0.0	0.0	false	
line	+	98.16677791710686	10.108574007543563	0.0	0.0	false	
line	+	98.16654016860767	10.109978244814092	0.0	0.0	false	
line	+	98.16630241802643	10.111382481906942	0.0	0.0	false	
line	+	98.16606466536285	10.112786718822319	0.0	0.0	false	
line	+	98.1651137113089	10.113956904238712	0.0	0.0	false	
line	+	98.16344956072048	10.114424951945507	0.0	0.0	false	
line	+	98.16249865209284	10.113254729564941	0.0	0.0	false	
line	+	98.16154775707187	10.111850464414788	0.0	0.0	false	
line	+	98.16059686300066	10.110680236549621	0.0	0.0	false	
line	+	98.1591704886529	10.110212109772153	0.0	0.0	false	
line	+	98.15750637767782	10.109978007450136	0.0	0.0	false	
line	+	98.15584224746269	10.110211976800134	0.0	0.0	false	
line	+	98.15394034647159	10.111148045868331	0.0	0.0	false	
line	+	98.15298935306852	10.112318196374375	0.0	0.0	false	
line	+	98.15203832550363	10.113956424188045	0.0	0.0	false	
line	+	98.1520382302212	10.115594704362097	0.0	0.0	false	
line	+	98.15180038442328	10.117467011031078	0.0	0.0	false	
line	+	98.15084934997316	10.118871195372307	0.0	0.0	false	
line	+	98.14966059892187	10.119807281864837	0.0	0.0	false	
line	+	98.14752090057378	10.120509258674561	0.0	0.0	false	
line	+	98.14609441184682	10.121211275530895	0.0	0.0	false	
line	+	98.14466795486645	10.121445206184157	0.0	0.0	false	
line	+	98.14252827577123	10.121679070600528	0.0	0.0	false	
line	+	98.14110177090437	10.122381065885818	0.0	0.0	false	
line	+	98.13943742746474	10.124019192655433	0.0	0.0	false	
line	+	98.13801088154624	10.12495521459873	0.0	0.0	false	
line	+	98.13682207042507	10.12589125485188	0.0	0.0	false	
line	+	98.13587094532758	10.127295396012839	0.0	0.0	false	
line	+	98.13539527653748	10.128933625620979	0.0	0.0	false	
line	+	98.13587056385197	10.13080599622477	0.0	0.0	false	
line	+	98.1368213530292	10.13267841526563	0.0	0.0	false	
line	+	98.13777220139634	10.134082751540616	0.0	0.0	false	
line	+	98.1384853078307	10.135487061967824	0.0	0.0	false	
line	+	98.13919842050194	10.13689137085362	0.0	0.0	false	
line	+	98.14014929174817	10.138295700280292	0.0	0.0	false	
line	+	98.14110014968703	10.139934066979807	0.0	0.0	false	
line	+	98.14181328367911	10.14133837021555	0.0	0.0	false	
line	+	98.1425264239126	10.14274267191049	0.0	0.0	false	
line	+	98.14300177321044	10.14461503222912	0.0	0.0	false	
line	+	98.14323940978213	10.146019292153213	0.0	0.0	false	
line	+	98.14300153019697	10.147423512359794	0.0	0.0	false	
line	+	98.14205030518345	10.14952979130805	0.0	0.0	false	
line	+	98.1415746560172	10.150933989768653	0.0	0.0	false	
line	+	98.14109900266318	10.152338187543055	0.0	0.0	false	
line	+	98.14062330111408	10.154210464651447	0.0	0.0	false	
line	+	98.14014748219289	10.15725294112392	0.0	0.0	false	
line	+	98.14014732568374	10.158891221194814	0.0	0.0	false	
line	+	98.1406227068648	10.160529544926586	0.0	0.0	false	
line	+	98.1418114031194	10.162167931155444	0.0	0.0	false	
line	+	98.14300013181796	10.163572273097426	0.0	0.0	false	
line	+	98.14418890976887	10.164508530739345	0.0	0.0	false	
line	+	98.14585318511762	10.166146940268197	0.0	0.0	false	
line	+	98.14751751146702	10.167317261387428	0.0	0.0	false	
line	+	98.14918188151587	10.16801949409364	0.0	0.0	false	
line	+	98.1508462588757	10.168721718411732	0.0	0.0	false	
line	+	98.1525106568697	10.169189894327333	0.0	0.0	false	
line	+	98.15393728409393	10.169658049867799	0.0	0.0	false	
line	+	98.15560169149026	10.170126210203623	0.0	0.0	false	
line	+	98.15702833743538	10.170360312374955	0.0	0.0	false	
line	+	98.15869273542461	10.171296537161092	0.0	0.0	false	
line	+	98.15964378618231	10.17293485049056	0.0	0.0	false	
line	+	98.15988150085192	10.174807178498812	0.0	0.0	false	
line	+	98.16011922605395	10.176445466324392	0.0	0.0	false	
line	+	98.16011917177174	10.17808374644909	0.0	0.0	false	
line	+	98.16011910197	10.180190106616987	0.0	0.0	false	
line	+	98.16011905542904	10.181594346733966	0.0	0.0	false	
line	+	98.1601190011247	10.183232626875881	0.0	0.0	false	
line	+	98.16011894681333	10.184870907023965	0.0	0.0	false	
line	+	98.1608322643095	10.186275169247974	0.0	0.0	false	
line	+	98.16178338368333	10.1874453964207	0.0	0.0	false	
line	+	98.16321008406028	10.1888496720134	0.0	0.0	false	
line	+	98.16463680144004	10.190019901421891	0.0	0.0	false	
line	+	98.16606353268574	10.19095608464364	0.0	0.0	false	
line	+	98.16749026994877	10.19212630172926	0.0	0.0	false	
line	+	98.16844142620349	10.193998629825092	0.0	0.0	false	
line	+	98.16939259458356	10.195636915162606	0.0	0.0	false	
line	+	98.17010597695406	10.197041157395775	0.0	0.0	false	
line	+	98.1708193656948	10.198679438125561	0.0	0.0	false	
line	+	98.17224615722814	10.200317714754025	0.0	0.0	false	
line	+	98.17319736034221	10.201487909097315	0.0	0.0	false	
line	+	98.175099771373	10.202658089400481	0.0	0.0	false	
line	+	98.1767643863622	10.203360183128435	0.0	0.0	false	
line	+	98.17819120740549	10.204062273946121	0.0	0.0	false	
line	+	98.17961802818745	10.204530318562684	0.0	0.0	false	
line	+	98.18104485316117	10.204998357013544	0.0	0.0	false	
line	+	98.1838984769125	10.204998255270398	0.0	0.0	false	
line	+	98.18556310168276	10.20523222456618	0.0	0.0	false	
line	+	98.18722772889825	10.205466185468886	0.0	0.0	false	
line	+	98.18913014752675	10.205466084753017	0.0	0.0	false	
line	+	98.1915081708123	10.205465943442473	0.0	0.0	false	
line	+	98.19364839176927	10.20546580161808	0.0	0.0	false	
line	+	98.19650201971177	10.205465590936916	0.0	0.0	false	
line	+	98.19792883368298	10.205465476346914	0.0	0.0	false	
line	+	98.19935562660903	10.205231315555992	0.0	0.0	false	
line	+	98.20125795407488	10.204294984821074	0.0	0.0	false	
line	+	98.20244686810034	10.203358712499739	0.0	0.0	false	
line	+	98.20363577514787	10.202422435901687	0.0	0.0	false	
line	+	98.20434902708884	10.201018123781623	0.0	0.0	false	
line	+	98.20482447479782	10.199613834792922	0.0	0.0	false	
line	+	98.20506204575265	10.197507449881156	0.0	0.0	false	
line	+	98.20506189443475	10.196103209724223	0.0	0.0	false	
line	+	98.20482392379488	10.19446495421189	0.0	0.0	false	
line	+	98.20387257691438	10.192826770981329	0.0	0.0	false	
line	+	98.20244567975449	10.191422671108182	0.0	0.0	false	
line	+	98.20101886189487	10.190720685138837	0.0	0.0	false	
line	+	98.19959207151327	10.190252733026254	0.0	0.0	false	
line	+	98.19816526517286	10.189550734725367	0.0	0.0	false	
line	+	98.19650067517875	10.188848748926192	0.0	0.0	false	
line	+	98.19507388192672	10.188146737266651	0.0	0.0	false	
line	+	98.19340928941119	10.187210695860701	0.0	0.0	false	
line	+	98.19174470666687	10.186274646063481	0.0	0.0	false	
line	+	98.19031792101325	10.185338573832341	0.0	0.0	false	
line	+	98.18889111705727	10.183934415395754	0.0	0.0	false	
line	+	98.18770213582206	10.182998318677775	0.0	0.0	false	
line	+	98.18651316156415	10.18206221767949	0.0	0.0	false	
line	+	98.18603752434397	10.180657999997077	0.0	0.0	false	
line	+	98.185324097808	10.17901975223206	0.0	0.0	false	
line	+	98.18484847036427	10.177615532844612	0.0	0.0	false	
line	+	98.1846106276324	10.176211302843479	0.0	0.0	false	
line	+	98.18413498783389	10.174339002401853	0.0	0.0	false	
line	+	98.18318381644279	10.17293479963404	0.0	0.0	false	
line	+	98.18199489292867	10.171998682378973	0.0	0.0	false	
line	+	98.18033044416752	10.171764695102803	0.0	0.0	false	
line	+	98.17890376887416	10.171296653598501	0.0	0.0	false	
line	+	98.17723929729824	10.169658410647088	0.0	0.0	false	
line	+	98.1765259319653	10.167552063867943	0.0	0.0	false	
line	+	98.17676367496341	10.165913779485791	0.0	0.0	false	
line	+	98.17866585200193	10.165679699062972	0.0	0.0	false	
line	+	98.18009251561944	10.16661582162199	0.0	0.0	false	
line	+	98.18128142126746	10.167785985736785	0.0	0.0	false	
line	+	98.18247032700542	10.168722105556927	0.0	0.0	false	
line	+	98.18365923971164	10.169658221096697	0.0	0.0	false	
line	+	98.18484816975003	10.170828372371124	0.0	0.0	false	
line	+	98.1860371422081	10.172700639412053	0.0	0.0	false	
line	+	98.18746390791821	10.174572890188905	0.0	0.0	false	
line	+	98.18889063705002	10.17550897473826	0.0	0.0	false	
line	+	98.1903173601737	10.176211013106663	0.0	0.0	false	
line	+	98.19198187061788	10.176913030069834	0.0	0.0	false	
line	+	98.19388411898022	10.176912901982048	0.0	0.0	false	
line	+	98.19554860450714	10.177146820931176	0.0	0.0	false	
line	+	98.19721307304393	10.177146691473185	0.0	0.0	false	
line	+	98.19863973988589	10.176912533815281	0.0	0.0	false	
line	+	98.19935295704181	10.17550823259217	0.0	0.0	false	
line	+	98.19935281008293	10.173869952491065	0.0	0.0	false	
line	+	98.19863933046072	10.172231733524383	0.0	0.0	false	
line	+	98.19792587811563	10.170827553032012	0.0	0.0	false	
line	+	98.1969746180963	10.168955309980038	0.0	0.0	false	
