[ ]   1  BN  Tau  8.2v          0534.5 +2201.0  6.3 kly      6'x4'
[ ]   2  GC  Aqu  6.3v          2133.5 -0049.0  36.2 kly     12.9'
[ ]   3  GC  CVn  6.3v          1342.2 +2823.0  30.6 kly     16.2'
[ ]   4  GC  Sco  6.4v          1623.5 -2631.5  6.8 kly      26.3'
[ ]   5  GC  Ser  6.2v          1518.6 +0205.0  22.8 kly     17.4'
[ ]   6  OC  Sco  4.2v          1740.4 -3213.8  2 kly        33'
[ ]   7  OC  Sco  4.1v          1753.9 -3447.0  800 ly       80.0'
[ ]   8  BN  Sag  6.0v          1804.1 -2418.0  5200 ly      90'x40'
[ ]   9  GC  Oph  7.3v          1719.2 -1831.0  26.4 kly     9.3'
[ ]  10  GC  Oph  6.7v          1657.2 -0406.0  13.4 kly     15.1'
[ ]  11  OC  Scu  6.3v          1851.1 -0616.0  6 kly        14.0'
[ ]  12  GC  Oph  6.6v          1647.2 -0156.9  17.6 kly     14.5'
[ ]  13  GC  Her  5.7v          1641.7 +3627.6  22.2 kly     16.6'
[ ]  14  GC  Oph  7.7v          1737.6 -0314.8  27.4 kly     11.7'
[ ]  15  GC  Peg  6.0v          2130.0 +1210.0  32.6 kly     12.3'
[ ]  16  OC  Ser  6.4v          1818.7 -1348.0  7 kly        7.0'
[ ]  17  BN  Sag  7.5v          1820.7 -1610.0  5000 ly      11.0'
[ ]  18  OC  Sag  7.5v          1819.9 -1706.0  4.9 (?) kly  9.0'
[ ]  19  GC  Oph  6.6v          1702.6 -2616.1  27.1 kly     13.5'
[ ]  20  BN  Sag  9.0v          1802.4 -2259.0  5.2 kly      OC 28.0'/BN 20'x20'
[ ]  21  OC  Sag  6.5v          1804.6 -2229.0  4250 ly      13.0'
[ ]  22  GC  Sag  5.9v          1836.4 -2354.2  10.1 kly     24.0'
[ ]  23  OC  Sag  6.9v          1756.9 -1901.0  2150 ly      27.0'
[ ]  24  *C  Sag  4.6v          1816.9 -1829.0  10 kly       90'
[ ]  25  OC  Sag  6.5v          1831.7 -1914.0  2 kly        40.0'
[ ]  26  OC  Scu  9.3v          1845.2 -0923.0  5 kly        15.0'
[ ]  27  PN  Vul  7.4v          1959.6 +2243.3  1250 ly      8.0'x5.7'
[ ]  28  GC  Sag  7.3v          1824.6 -2452.2  17.9 kly     11.2'
[ ]  29  OC  Cyg  7.1v          2023.9 +3832.0  4 kly        7.0'
[ ]  30  GC  Cap  8.4v          2140.4 -2310.7  24.8 kly     11.0'
[ ]  31  GX  And  4.8v, 4.4b    0042.7 +4116.1  2.2 Mly      192.4'x62.2'
[ ]  32  GX  And  8.7v, 9.0b    0042.7 +4051.9  2.2 Mly      8.7'x6.4'
[ ]  33  GX  Tri  6.7v, 6.3b    0133.8 +3039.6  2.3 Mly      65.6'x38.0'
[ ]  34  OC  Per  5.5v          0242.1 +4245.0  1.4 kly      35.0'
[ ]  35  OC  Gem  5.3v          0609.0 +2421.0  2.8 kly      28.0'
[ ]  36  OC  Aur  6.3v          0536.3 +3408.4  4.1 kly      12.0'
[ ]  37  OC  Aur  6.2v          0552.3 +3233.2  4.4 kly      24.0'
[ ]  38  OC  Aur  7.4v          0528.7 +3551.3  4.2 (?) kly  21.0'
[ ]  39  OC  Cyg  5.2v          2132.2 +4827.0  825 ly       32.0'
[ ]  40  *2  UMj  9.1v          1222.4 +5805.0  300 ly       0.8'
[ ]  41  OC  CMj  4.6v          0646.0 -2045.3  2.3 kly      38.0'
[ ]  42  BN  Ori  4.0v          0535.0 -0525.0  1.6 kly      85'x60'
[ ]  43  BN  Ori  9.1v          0535.5 -0516.5  1.6 kly      9.1'
[ ]  44  OC  Cnc  3.7v          0840.4 +1940.0  500 ly       95.0'
[ ]  45  OC  Tau  1.6v          0347.5 +2406.3  400 ly       110.0'
[ ]  46  OC  Pup  6.0v          0741.8 -1448.6  5.4 kly      27.0'
[ ]  47  OC  Pup  4.5v          0736.6 -1439.0  1.6 kly      30.0'
[ ]  48  OC  Hyd  5.3v          0813.7 -0545.0  1.5 kly      54.0'
[ ]  49  GX  Vir  8.5v, 9.4b    1229.8 +0760.0  60 Mly       9.3'x7.0'
[ ]  50  OC  Mon  6.3v          0702.8 -0823.0  3 kly        16.0'
[ ]  51  GX  CVn  8.4v, 9.0b    1329.9 +4711.8  37 Mly       11'x7'
[ ]  52  OC  Cas  7.3v          2324.2 +6135.0  5.0 kly      13.0'
[ ]  53  GC  Com  7.6v          1312.9 +1810.3  56.4 kly     12.6'
[ ]  54  GC  Sag  7.6v          1855.1 -3028.7  82.2 kly     9.1'
[ ]  55  GC  Sag  6.3v          1939.8 -3057.7  16.6 kly     19'
[ ]  56  GC  Lyr  8.2v          1916.6 +3011.1  31.6 kly     7.1'
[ ]  57  PN  Lyr  9.7p          1853.6 +3301.8  4.1 kly      86.0"x63.0"
[ ]  58  GX  Vir  9.6v          1237.7 +1149.2  60 Mly       5.9'x4.7'
[ ]  59  GX  Vir  10.6b, 9.6v   1242.0 +1138.1  60 Mly       5.3'x3.2'
[ ]  60  GX  Vir  9.8b, 8.9v    1243.7 +1133.0  60 Mly       7.4'x6.0'
[ ]  61  GX  Vir  10.2b, 10.1v  1221.9 +0428.3  60 Mly       6.5'x5.7'
[ ]  62  GC  Oph  6.6v          1701.2 -3006.7  21.5 kly     14.1'
[ ]  63  GX  CVn  9.3b, 9.5v    1315.8 +4202.1  37 Mly       10'x6'
[ ]  64  GX  Com  8.8v, 9.4b    1256.7 +2141.1  12 Mly       10.1'x5.4'
[ ]  65  GX  Leo  9.3v, 10.3b   1118.9 +1305.6  35 Mly       8'x1.5'
